year,dish,category,revenue,qty,orders
2025,25 гр Пармская ветчина,ЗАКУСКИ,31375.761,78.0,65
2025,Кейк попс,ДЕСЕРТЫ,31331.8075,177.0,106
2025,"Яблоко фреш 0,3",БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ,30932.792,75.67999999999999,71
2025,Омлет с кальмаром в сливочном соусе,ЗАВТРАК,30800.821000000004,47.0,44
2025,Круассан классический,ЗАВТРАК,30765.851999999995,108.0,89
2025,Д.Суп из белых грибов+,Д.СУПЫ,30667.999999999975,55.0,52
2025,Д.Драник с лососем и яйцом +,Д.ЗАВТРАКИ,30630.600000000013,45.0,38
2025,"Грейпфрут фреш 0,3",БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ,30588.236,70.6,66
2025,Д.Калифорния,Д.ПАНАЗИЯ,30454.4715,38.0,32
2025,"Морковь фреш 0,3",БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ,30385.2985,78.86,73
2025,Д.Тёплый римский сэндвич  +,Д.ЗАВТРАКИ,30355.19999999997,72.0,60
2025,Ромашковый чай,ЧАЙНАЯ КАРТА,30298.233,57.0,55
2025,Д.Запечённый ролл с креветкой,Д.ПАНАЗИЯ,30064.0155,55.0,43
2025,Хрустящий тост с тунцом и гуакамоле,ЗАВТРАК,29979.4745,53.0,47
2025,Панна котта с манго,ДЕСЕРТЫ,29904.198500000006,75.0,70
2025,Коктейль Пэшн ту Фэшн,КОКТЕЙЛИ,29895.3415,46.0,33
2025,Д.Паста с камчатским крабом +,Д.ПАСТА,29865.60000000001,18.0,17
2025,Аньолини с бульоном и сыром грана падано,СУПЫ,29595.674,69.0,67
2025,Бенедикт на круассане с лососем,ЗАВТРАК,29576.9485,32.0,30
2025,Д.Ролл с хрустящим крабом +,Д.ПАНАЗИЯ,29512.00000000002,35.0,35
2025,Д.Креветки и Перно Рикар +,Д.ПАСТА,29416.80000000002,42.0,42
2025,Тыквенный суп,СУПЫ,29281.701,81.0,76
2025,Д.Нисуаз +,Д.САЛАТЫ,28668.800000000014,34.0,33
2025,Д.L.Бекон и маскарпоне +,Д.ПИЦЦА L,28458.0,31.0,30
2025,Запеченый ролл с крабом в соусе сэм с омлетом и луком сибулет,ПАНАЗИЯ,28232.393000000004,46.0,40
2025,Д.Запечённый ролл с крабом ,Д.ПАНАЗИЯ,27934.4,42.0,38
2025,Д.Филадельфия с угрём  +,Д.ПАНАЗИЯ,27825.600000000017,33.0,33
2025,Овощи на гриле,ГАРНИРЫ,27652.387,75.0,68
2025,Д.Томатный суп с морепродуктами +,Д.СУПЫ,27417.599999999988,36.0,34
2025,Овсяная каша с яблоком и миндалём,ЗАВТРАК,27416.3675,77.0,74
2025,Чиабатта,ХЛЕБ,26995.08200000001,114.0,104
2025,25 см/Пицца с мортаделлой и трюфельным кремом,ПИЦЦА S,26880.833500000004,33.0,33
2025,Д.Тыквенный суп +,Д.СУПЫ,26841.29999999998,69.0,65
2025,Д. Ягодный торт,ЦЕЛЫЕ ТОРТЫ,26793.445,6.433,5
2025,Д.Куриный суп с домашней пастой,Д.СУПЫ,26775.0,75.0,50
2025,"Яблоко-сельдерей фреш 0,3",БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ,26690.297499999997,66.41,55
2025,"750 мл Кава Бонавал, Каталония, Испания ",ИГРИСТОЕ ВИНО БУТЫЛКИ,26520.0,8.0,4
2025,Д.Деревенский салат +,Д.САЛАТЫ,26180.0,55.0,46
2025,Д.Филадельфия с угрём ,Д.ПАНАЗИЯ,25918.2,31.0,29
2025,"125 мл Риоха Эль Кото 1970. Испания, Риоха",КРАСНОЕ ВИНО ПО БОКАЛАМ,25786.3735,38.0,11
2025,Д.Томатный суп с морепродуктами,Д.СУПЫ,25721.0,34.0,28
2025,Д.ДМ/Куриный суп с макарошками +,Д.ДЕТСКОЕ МЕНЮ,25663.19999999997,102.0,89
2025,Банкет/ Ассорти сыров,БАНКЕТЫ/ФУРШЕТЫ,25245.0,18.0,7
2025,750 мл Б/А Винья Албали Спарклинг Уайт,Б/А ВИНО,25194.0,8.0,3
2025,Д.Ростбиф с овощами гриль на двоих +,Д.МЯСО,25010.4,6.0,6
2025,Банкет/ Оливье с ветчиной 200 гр,БАНКЕТЫ/ФУРШЕТЫ,24565.0,34.0,5
2025,Д.Тальята из говядины с кремом  из пастернака,Д.МЯСО,24543.75,17.0,17
2025,Д.Запечённый ролл с лососем,Д.ПАНАЗИЯ,24509.75,39.0,33
2025,Д.Лимонад домашний  1 л +,Д.БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ,24235.200000000015,36.0,33
2025,Д.S.Ветчина и грибы,Д.ПИЦЦА S,23868.0,36.0,30
2025,Раф 300 мл,КОФЕ,23745.574499999995,82.0,74
2025,"Пиво Айнзидлер Шварцбир, 0,5",ПИВО БУТЫЛОЧНОЕ,23637.8285,49.0,28
2025,Коктейль Базиликовый взрыв,КОКТЕЙЛИ,23543.13,40.0,25
2025,Запеченый ролл с лососем в соусе сэм с омлетом и луком сибулет,ПАНАЗИЯ,23259.9015,39.0,33
2025,Д.S.Четыре сыра +,Д.ПИЦЦА S,23188.0,31.0,31
2025,Д.Сырники с клубничным вареньем +,Д.ЗАВТРАКИ,23072.399999999998,39.0,34
2025,Классические: Лосось 2 шт,ПАНАЗИЯ,22996.1295,62.0,40
2025,Салат ди Фамилия,САЛАТЫ,22705.2,17.0,17
2025,Д.Болоньезе,Д.ПАСТА,22610.0,28.0,25
2025,Картофельное пюре,ГАРНИРЫ,22421.8015,96.0,82
2025,Равиоли с бурратой и базиликом,СПЕШЛ,22391.082500000004,32.0,31
2025,Д.Лосось и брокколи,Д.ПАСТА,21879.0,26.0,25
2025,Какао 180 мл,КОФЕ,21873.169000000005,94.0,87
2025,"Pompelmo 1,3",БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ,21682.4545,22.0,19
2025,Коктейль Марио Фрутти,КОКТЕЙЛИ,21610.722999999998,34.0,25
2025,40 мл Коньяк Курвуазье VS,БРЕНДИ/КОНЬЯК,21420.0,26.25,12
2025,Д.Аль Помодоро,Д.ПАСТА,21420.0,36.0,28
2025,Коктейль Беллини Б/А,КОКТЕЙЛИ,21315.2885,37.0,24
2025,750 мл Корте Альто Амароне Делла Вальполичелла Классико Кампароль. Италия,КРАСНОЕ ВИНО,21250.0,2.0,2
2025,Д.L.Пицца с мортаделлой и трюфельным кремом +,Д.ПИЦЦА L,21175.200000000004,18.0,18
2025,Д.Сметанник с клубникой и йогуртом,Д.ДЕСЕРТЫ,21114.0,36.0,17
2025,Д.Тёплый салат с ростбифом,Д.САЛАТЫ,20952.5,29.0,24
2025,Д.Вителло Тоннато,Д.ЗАКУСКИ,20910.0,30.0,27
2025,Д.Карбонара,Д.ПАСТА,20910.0,30.0,26
2025,"125 мл Фрайхерр фон Гелер, Пино Нуар",КРАСНОЕ ВИНО ПО БОКАЛАМ,20712.222,27.0,14
2025,Д.Деревенский салат,Д.САЛАТЫ,20706.0,44.0,35
2025,Д.Буррата с томатами +,Д.ЗАКУСКИ,20563.2,27.0,26
2025,Д.Салат из запечённой тыквы с киноа,Д.САЛАТЫ,19959.266499999998,37.0,32
2025,Д.L.Пицца с мортаделлой и трюфельным кремом,Д.ПИЦЦА L,19941.0,17.0,17
