check_id,date,year,revenue,items_count,qty_total,categories_count,avg_item_price
39892,2026-02-05,2026,1891.879,3,3.0,2,630.6263333333333
39893,2026-02-05,2026,2807.55,2,3.0,2,935.85
39897,2026-02-05,2026,1950.75,2,2.0,2,975.375
39898,2026-02-05,2026,2080.8,4,5.0,3,416.16
39899,2026-02-05,2026,1897.2,2,2.0,1,948.6
39900,2026-02-05,2026,9703.923,9,12.0,6,808.66025
39901,2026-02-05,2026,2340.9,4,4.0,4,585.225
39903,2026-02-05,2026,3832.65,5,5.0,5,766.53
39904,2026-02-05,2026,3576.1455,6,6.0,5,596.02425
39906,2026-02-05,2026,2463.3,4,4.0,4,615.825
39908,2026-02-05,2026,3610.7999999999997,4,4.0,4,902.6999999999999
98043,2026-02-05,2026,1776.5,2,3.0,1,592.1666666666666
98044,2026-02-05,2026,0.0,5,5.0,5,0.0
98045,2026-02-05,2026,1640.5,4,7.0,2,234.35714285714286
98046,2026-02-05,2026,0.0,3,0.0,2,
98047,2026-02-05,2026,932.025,2,2.0,2,466.0125
98048,2026-02-05,2026,1955.0,4,5.0,3,391.0
98050,2026-02-05,2026,3420.4,6,8.0,3,427.55
98054,2026-02-05,2026,2754.0,4,8.0,3,344.25
98055,2026-02-05,2026,1742.5,7,8.0,4,217.8125
98056,2026-02-05,2026,4369.0,11,12.0,4,364.0833333333333
98058,2026-02-05,2026,3451.0,10,11.0,5,313.72727272727275
98059,2026-02-05,2026,680.0,3,4.0,3,170.0
98060,2026-02-05,2026,2524.5,4,4.0,2,631.125
98062,2026-02-05,2026,4216.0,8,11.0,4,383.27272727272725
98063,2026-02-05,2026,0.0,1,1.0,1,0.0
98064,2026-02-05,2026,1336.2,5,4.0,3,334.05
98066,2026-02-05,2026,1448.3999999999999,3,3.0,2,482.79999999999995
98067,2026-02-05,2026,1740.7999999999997,3,3.0,2,580.2666666666665
98069,2026-02-05,2026,1028.5,2,2.0,2,514.25
98070,2026-02-05,2026,765.0,2,4.0,2,191.25
98073,2026-02-05,2026,2541.5,6,6.0,4,423.5833333333333
98074,2026-02-05,2026,2932.5,7,7.0,4,418.92857142857144
98075,2026-02-05,2026,1496.0,3,4.0,2,374.0
98076,2026-02-05,2026,1955.0,4,5.0,4,391.0
98077,2026-02-05,2026,1521.5,4,4.0,4,380.375
98078,2026-02-05,2026,867.0,2,3.0,1,289.0
98079,2026-02-05,2026,12554.5,18,37.0,8,339.31081081081084
98081,2026-02-05,2026,1683.0,2,4.0,2,420.75
98083,2026-02-05,2026,1162.8,3,3.0,3,387.59999999999997
98086,2026-02-05,2026,4632.5,7,7.0,6,661.7857142857143
98087,2026-02-05,2026,2575.5,3,3.0,3,858.5
98091,2026-02-05,2026,552.5,1,1.0,1,552.5
98092,2026-02-05,2026,4998.0,10,10.0,6,499.8
98094,2026-02-05,2026,18649.0,23,38.0,13,490.7631578947368
98095,2026-02-05,2026,7029.5,5,8.5,4,827.0
98097,2026-02-05,2026,2201.5,2,3.0,2,733.8333333333334
98100,2026-02-05,2026,629.0,2,2.0,2,314.5
98102,2026-02-05,2026,1912.5,3,3.0,3,637.5
98104,2026-02-05,2026,3522.4,8,11.0,6,320.21818181818185
98106,2026-02-05,2026,0.0,1,0.0,1,
98107,2026-02-05,2026,5584.5,10,11.0,9,507.6818181818182
98109,2026-02-05,2026,4743.0,8,9.0,8,527.0
98110,2026-02-05,2026,2609.5,6,6.0,4,434.9166666666667
98112,2026-02-05,2026,5210.5,9,9.0,6,578.9444444444445
98115,2026-02-05,2026,817.6999999999999,2,2.0,2,408.84999999999997
98117,2026-02-05,2026,5371.999999999998,8,8.0,7,671.4999999999998
98118,2026-02-05,2026,3476.5,7,7.0,5,496.64285714285717
98119,2026-02-05,2026,2796.5,5,5.0,5,559.3
98121,2026-02-05,2026,849.9999999999999,2,2.0,2,424.99999999999994
98122,2026-02-05,2026,6681.0,8,11.0,7,607.3636363636364
98125,2026-02-05,2026,3434.0,7,7.0,5,490.57142857142856
98128,2026-02-05,2026,3209.5999999999995,8,8.0,4,401.19999999999993
98129,2026-02-05,2026,1088.0,4,4.0,3,272.0
98131,2026-02-05,2026,3427.1999999999994,9,8.5,8,403.19999999999993
98132,2026-02-05,2026,1156.0,4,6.0,3,192.66666666666666
98134,2026-02-05,2026,5040.5,8,9.0,6,560.0555555555555
98135,2026-02-05,2026,4683.5,8,9.0,6,520.3888888888889
98138,2026-02-05,2026,4896.0,7,8.0,5,612.0
